Age last bd last pol anniversary,Male_NS,Male_S,Male_Unk,Female_NS,Female_S,Female_Unk
0,0.0012753,0.0012753,0.0012753,0.0010833,0.0010833,0.0010833
1,0.000149,0.000149,0.000149,0.00012567,0.00012567,0.00012567
2,0.000102,0.000102,0.000102,0.000079667,0.000079667,0.000079667
3,0.000079333,0.000079333,0.000079333,0.000058333,0.000058333,0.000058333
4,0.000062667,0.000062667,0.000062667,0.000052667,0.000052667,0.000052667
5,0.000057,0.000057,0.000057,0.000048333,0.000048333,0.000048333
6,0.000055333,0.000055333,0.000055333,0.000045667,0.000045667,0.000045667
7,0.000055333,0.000055333,0.000055333,0.000044,0.000044,0.000044
8,0.000055333,0.000055333,0.000055333,0.000043,0.000043,0.000043
9,0.000056,0.000056,0.000056,0.000042667,0.000042667,0.000042667
10,0.000059,0.000059,0.000059,0.000043333,0.000043333,0.000043333
11,0.000065333,0.000065333,0.000065333,0.000047,0.000047,0.000047
12,0.000076333,0.000076333,0.000076333,0.000056,0.000056,0.000056
13,0.000093333,0.000093333,0.000093333,0.000071667,0.000071667,0.000071667
14,0.000119,0.000119,0.000119,0.000094333,0.000094333,0.000094333
15,0.00016133,0.00016133,0.00016133,0.00011733,0.00011733,0.00011733
16,0.00022428,0.00024447,0.00022668,0.00013098,0.00013949,0.0001318
17,0.0002915,0.00034397,0.00029773,0.00013725,0.00015509,0.00013896
18,0.00032875,0.00041751,0.00033928,0.00013844,0.00016544,0.00014103
19,0.00033869,0.00046061,0.00035315,0.0001364,0.00017186,0.0001398
20,0.00034257,0.00049673,0.00036086,0.00013251,0.00017558,0.00013665
21,0.00034581,0.00053254,0.00036797,0.00012896,0.00017926,0.00013379
22,0.0003487,0.00056839,0.00037477,0.00012658,0.00018418,0.00013212
23,0.00035156,0.00060467,0.00038159,0.00012614,0.00019173,0.00013244
24,0.00035491,0.00064239,0.00038903,0.00012748,0.00020206,0.00013464
25,0.00035872,0.00068157,0.00039704,0.00013047,0.00021528,0.00013862
26,0.0003614,0.00068666,0.0004,0.00013497,0.00022271,0.0001434
27,0.00036122,0.00068632,0.0003998,0.00013953,0.00023023,0.00014825
28,0.00035628,0.00067694,0.00039434,0.00014523,0.00023963,0.0001543
